,Año,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Motor(cilindraje),Placa,Tapizado,Dirección,Entrada desde,Cuotas desde,Número de cuotas,Tipo de Motor
2693,2018,47745,58.9,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150 DC 4X4,,,,,,,,,,,,,,,,,
2694,2014,119627,27.9,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
2695,2018,0,35.0,Quito,Negociable,USED,Can-Am,Buggy,Maverick X3,,,,,,,,,,,,,,,,,
2696,2019,54856,43.8,Quito,Negociable,USED,Chevrolet,Todoterreno,TrailBlazer DSL LTZ TA 2.8,,,,,,,,,,,,,,,,,
2697,2004,214544,10.5,Quito,Negociable,USED,Kia,Todoterreno,Sorento,,,,,,,,,,,,,,,,,
2698,2022,15,32.99,Quito,Negociable,USED,Ssangyong,Camioneta Doble Cabina,Musso,,,,,,,,,,,,,,,,,
2699,2009,106400,38.9,Quito,Negociable,USED,Toyota,Todoterreno,FJ Cruiser,,,,,,,,,,,,,,,,,
2700,2009,56122,59.9,Quito,Negociable,USED,Mercedes Benz,Sedán,C63 AMG,,,,,,,,,,,,,,,,,
2701,2018,124300,38.9,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 CS 4x4,,,,,,,,,,,,,,,,,
2702,2008,202390,57.3,Quito,Negociable,USED,Toyota,Todoterreno,Land Cruiser 200,,,,,,,,,,,,,,,,,
2703,2022,1,232.5,Quito,Fijo,USED,Toyota,Todoterreno,Land Cruiser,,,,,,,,,,,,,,,,,
2704,2018,89700,66.7,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150 Lariat,,,,,,,,,,,,,,,,,
2705,2022,12900,107.5,Quito,Negociable,USED,Toyota,Camioneta Doble Cabina,Tacoma Off Road,,,,,,,,,,,,,,,,,
2706,2018,10800,63.7,Quito,Negociable,USED,Mercedes Benz,Sedán,E200,,,,,,,,,,,,,,,,,
2707,2008,159000,33.3,Quito,Negociable,USED,Porsche,Todoterreno,Cayenne,,,,,,,,,,,,,,,,,
2708,2023,15,132.5,Quito,Fijo,USED,Toyota,Todoterreno,FJ Cruiser,,,,,,,,,,,,,,,,,
2709,2019,52089,28.9,Quito,Negociable,USED,Mazda,Sedán,Allegro Elite,#1713852,180000 Kms,Eléctricos,Manual,Gasolina,Aire Acondicionado,4 x 2,Beige,0.0,1600.0,Pichincha,Cuero,Hidráulica,,,,GASOLINA
2710,1994,283846,9.3,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Blazer,,,,,,,,,,,,,,,,,
2711,2014,151400,19.9,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander,,,,,,,,,,,,,,,,,
2712,2019,52089,28.9,Quito,Negociable,USED,Kia,Todoterreno,SPORTAGE GT LINE AT,,,,,,,,,,,,,,,,,
2713,2015,150515,48.8,Quito,Negociable,USED,BMW,Todoterreno,X4 Xdrive,,,,,,,,,,,,,,,,,
2714,2006,267469,19.9,Quito,Negociable,USED,Mitsubishi,Todoterreno,Montero 3P,,,,,,,,,,,,,,,,,
2715,2018,49945,17.9,Quito,Negociable,USED,Toyota,Sedán,Yaris,,,,,,,,,,,,,,,,,
2716,2019,16645,50.9,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLA 180,,,,,,,,,,,,,,,,,
2717,2008,166148,18.4,Quito,Negociable,USED,BMW,Sedán,318i,,,,,,,,,,,,,,,,,
2718,2004,368200,17.9,Quito,Negociable,USED,Land Rover,Todoterreno,Discovery,,,,,,,,,,,,,,,,,
2719,2007,210900,9.4,Quito,Negociable,USED,Kia,Todoterreno,Sorento,,,,,,,,,,,,,,,,,
2720,2016,51499,108.0,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLE 450,,,,,,,,,,,,,,,,,
2721,2008,180500,17.8,Quito,Negociable,USED,Mazda,Todoterreno,CX-9,,,,,,,,,,,,,,,,,
2722,2005,109000,24.9,Quito,Negociable,USED,Mercedes Benz,Coupé,CLK320,,,,,,,,,,,,,,,,,
2723,2017,61300,108.5,Quito,Negociable,USED,BMW,Todoterreno,X6 xDRIVE 35i,,,,,,,,,,,,,,,,,
2724,2019,101800,29.2,Quito,Negociable,USED,Kia,Todoterreno,SPORTAGE GT LINE AT,,,,,,,,,,,,,,,,,
2725,2014,115203,30.5,Quito,Negociable,USED,Audi,Todoterreno,Q5,,,,,,,,,,,,,,,,,
2726,2009,185174,28.9,Quito,Negociable,USED,Audi,Todoterreno,Q7,,,,,,,,,,,,,,,,,
2727,1994,111384,18.0,Quito,Negociable,USED,Toyota,Todoterreno,4 Runner,,,,,,,,,,,,,,,,,
2728,2002,254000,11.9,Quito,Negociable,USED,Mercedes Benz,Sedán,C200 K,,,,,,,,,,,,,,,,,
2729,2014,93600,23.9,Quito,Negociable,USED,Toyota,Todoterreno,RAV 4,,,,,,,,,,,,,,,,,
2730,2017,152800,22.9,Quito,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,,,,
2731,2007,205000,28.6,Quito,Negociable,USED,Toyota,Todoterreno,Sequoia,,,,,,,,,,,,,,,,,
2732,2007,165267,32.9,Quito,Negociable,USED,Mercedes Benz,Mini van (MPV),R350,,,,,,,,,,,,,,,,,
2733,2003,156300,16.9,Quito,Negociable,USED,Mercedes Benz,Sedán,E320,,,,,,,,,,,,,,,,,
2734,2015,71083,12.5,Quito,Negociable,USED,Kia,Sedán,Cerato Forte,,,,,,,,,,,,,,,,,
2735,2005,212431,9.9,Quito,Negociable,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,
2736,2021,63343,17.9,Quito,Negociable,USED,Soueast,Todoterreno,DX3,,,,,,,,,,,,,,,,,
2737,2017,149387,33.7,Quito,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 4x4 Diesel,,,,,,,,,,,,,,,,,
2738,2019,43385,11.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2739,2022,0,27.99,Quito,Fijo,NEW,JMC,Camioneta Doble Cabina,VIGUS PLUS,,,,,,,,,,,,,,,,,
2740,2003,176000,22.9,Quito,Negociable,USED,Mercedes Benz,Sedán,E500,,,,,,,,,,,,,,,,,
2741,2007,275000,43.9,Quito,Negociable,USED,Toyota,Todoterreno,Land Cruiser 100,,,,,,,,,,,,,,,,,
2742,2016,120854,55.9,Quito,Negociable,USED,Ford,Todoterreno,Expedition,,,,,,,,,,,,,,,,,
2743,2016,61000,26.9,Quito,Negociable,USED,Honda,Todoterreno,HRV,,,,,,,,,,,,,,,,,
2744,2002,230000,10.9,Quito,Negociable,USED,Toyota,Todoterreno,4 Runner,#1719444,111384 Kms,Eléctricos,Automática,Gasolina,Aire Acondicionado,4 x 2,Verde,8.0,3000.0,Pichincha,Tela,Hidráulica,,,,V6 141HP
2745,2003,176000,22.9,Quito,Negociable,USED,Mercedes Benz,Sedán,E500,,,,,,,,,,,,,,,,,
2746,2014,180300,14.5,Quito,Negociable,USED,Kia,Todoterreno,Sportage Active,,,,,,,,,,,,,,,,,
2747,2011,172000,46.9,Quito,Fijo,USED,Porsche,Todoterreno,Cayenne S,,,,,,,,,,,,,,,,,
2748,1995,241280,8.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Blazer,,,,,,,,,,,,,,,,,
2749,2016,69000,24.9,Quito,Negociable,USED,Honda,Todoterreno,HRV,,,,,,,,,,,,,,,,,
2750,2009,157000,17.8,Quito,Negociable,USED,Toyota,Todoterreno,Prado 3P,,,,,,,,,,,,,,,,,
2751,2013,128314,10.4,Quito,Negociable,USED,Fiat,Utilitario,Fiorino Fire,,,,,,,,,,,,,,,,,
2752,2020,0,29.0,Quito,Negociable,USED,Textron,Buggy,wildcat xx 1000,,,,,,,,,,,,,,,,,
2753,2002,228600,9.9,Quito,Negociable,USED,Chevrolet,Camioneta Cabina Simple,Silverado,,,,,,,,,,,,,,,,,
2754,2016,106000,39.7,Quito,Negociable,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,
2755,2012,200000,25.9,Quito,Negociable,USED,Ford,Todoterreno,Expedition,,,,,,,,,,,,,,,,,
2756,2004,106217,17.3,Quito,Negociable,USED,GMC,Todoterreno,Envoy,,,,,,,,,,,,,,,,,
2757,2005,230000,15.7,Quito,Negociable,USED,Nissan,Todoterreno,Patrol GRX 4x4,,,,,,,,,,,,,,,,,
2758,2009,164000,19.8,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150 FX4,,,,,,,,,,,,,,,,,
2759,2008,183000,15.9,Quito,Negociable,USED,Mazda,Todoterreno,CX-9,,,,,,,,,,,,,,,,,
2760,2019,38000,26.5,Ambato,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX HI RIDE,,,,,,,,,,,,,,,,,
2761,2013,149214,9.9,Quito,Negociable,USED,Peugeot,Hatchback (5 Puertas),207,,,,,,,,,,,,,,,,,
2762,2012,121260,26.4,Quito,Negociable,USED,Ford,Todoterreno,Expedition,,,,,,,,,,,,,,,,,
2763,2011,188293,17.9,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,Silverado Hibrido,,,,,,,,,,,,,,,,,
2764,2011,172000,46.9,Quito,Negociable,USED,Porsche,Todoterreno,Cayenne S Hybrid,,,,,,,,,,,,,,,,,
2765,1978,392000,22.9,Quito,Negociable,USED,Mercedes Benz,Coupé,280CE,,,,,,,,,,,,,,,,,
2766,2007,74030,48.9,Quito,Negociable,USED,Mercedes Benz,Sedán,S 550,,,,,,,,,,,,,,,,,
2767,2009,149000,15.9,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,Silverado Hibrido,,,,,,,,,,,,,,,,,
2768,2014,135723,14.5,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
2769,2007,94000,16.9,Quito,Negociable,USED,Volvo,Sedán,S60,,,,,,,,,,,,,,,,,
2770,2016,99779,79.3,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLE 400,,,,,,,,,,,,,,,,,
2771,2011,172000,46.9,Quito,Negociable,USED,Porsche,Todoterreno,Cayenne,,,,,,,,,,,,,,,,,
2772,2003,182000,18.7,Quito,Negociable,USED,Mercedes Benz,Sedán,E320,,,,,,,,,,,,,,,,,
2773,2001,323972,8.4,Quito,Negociable,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,
2774,1995,139000,17.9,Quito,Negociable,USED,BMW,Sedán,750i,,,,,,,,,,,,,,,,,
2775,2015,141000,14.6,Quito,Negociable,USED,Chevrolet,Sedán,Cruze,,,,,,,,,,,,,,,,,
2776,2003,175000,17.9,Quito,Negociable,USED,Mercedes Benz,Coupé,C200 K,,,,,,,,,,,,,,,,,
2777,2010,127000,11.6,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva Limited,,,,,,,,,,,,,,,,,
2778,2005,125000,22.9,Quito,Negociable,USED,BMW,Todoterreno,X5 4.4i,,,,,,,,,,,,,,,,,
2779,1953,2000,34.9,Quito,Negociable,USED,Ford,Todoterreno,Expedition,#1702823,121260 Kms,Eléctricos,Automática,Gasolina,Aire Acondicionado,4 x 4,Vino,0.0,5400.0,Guayas,Cuero,Hidráulica,,,,V8 310HP
2780,1995,360000,6.9,Quito,Negociable,USED,Chevrolet,Camioneta Cabina Simple,Cheyenne,,,,,,,,,,,,,,,,,
2781,2013,80000,48.9,Quito,Negociable,USED,BMW,Todoterreno,X5 xDrive35i,,,,,,,,,,,,,,,,,
2782,2002,129000,16.3,Quito,Negociable,USED,Mercedes Benz,Sedán,C320,,,,,,,,,,,,,,,,,
2783,2010,116000,17.9,Quito,Negociable,USED,Audi,Sedán,A4,,,,,,,,,,,,,,,,,
2784,1971,94000,23.8,Quito,Negociable,USED,Mercedes Benz,Sedán,280S,,,,,,,,,,,,,,,,,
2785,2005,219000,17.9,Quito,Negociable,USED,Nissan,Todoterreno,Patrol,,,,,,,,,,,,,,,,,
2786,1967,150000,14.9,Quito,Negociable,USED,Mercedes Benz,Sedán,250,,,,,,,,,,,,,,,,,
2787,2001,323972,8.4,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
2788,2021,35682,38.5,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail Exclusive,,,,,,,,,,,,,,,,,
2789,2023,5000,18.9,Quito,Negociable,USED,Fiat,Crossover,Argo Trekking,,,,,,,,,,,,,,,,,
2790,2007,310288,15.9,Quito,Negociable,USED,Toyota,Todoterreno,Land Cruiser Prado GX,,,,,,,,,,,,,,,,,
2791,2019,73751,22.9,Quito,Fijo,USED,Kia,Sedán,Optima,,,,,,,,,,,,,,,,,
2792,2019,40442,10.5,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark Life,,,,,,,,,,,,,,,,,
2793,2012,55510,22.9,Quito,Negociable,USED,Peugeot,Convertible,207cc,,,,,,,,,,,,,,,,,
2794,2022,25458,53.9,Cuenca,Negociable,USED,Mitsubishi,Todoterreno,Montero Sport,,,,,,,,,,,,,,,,,
2795,2016,73700,13.7,Quito,Negociable,USED,Nissan,Sedán,Versa,,,,,,,,,,,,,,,,,
2796,2019,50100,15.8,Quito,Negociable,USED,Great Wall,Camioneta Doble Cabina,Wingle 5 AC CD 4X2,,,,,,,,,,,,,,,,,
2797,2019,46500,16.0,Quito,Negociable,USED,Great Wall,Camioneta Doble Cabina,Wingle 5 AC CD 4X2,,,,,,,,,,,,,,,,,
2798,2017,80000,17.9,Quito,Negociable,USED,Hyundai,Sedán,Ioniq Hybrid,,,,,,,,,,,,,,,,,
2799,2018,72000,30.9,Quito,Negociable,USED,Peugeot,Todoterreno,5008,,,,,,,,,,,,,,,,,
2800,2003,262500,5.4,Quito,Negociable,USED,Peugeot,Hatchback (3 Puertas),Berlina 206 XR,,,,,,,,,,,,,,,,,
2801,2021,6070,69.99,Quito,Negociable,USED,Mercedes Benz,Hatchback (5 Puertas),A35,,,,,,,,,,,,,,,,,
2802,2021,23028,21.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
2803,2014,56271,14.9,Quito,Negociable,USED,Chevrolet,Todoterreno Ligero,Tracker,,,,,,,,,,,,,,,,,
2804,2015,28000,22.9,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail Sense,,,,,,,,,,,,,,,,,
2805,2012,51000,12.9,Quito,Negociable,USED,Nissan,Sedán,Versa,,,,,,,,,,,,,,,,,
2806,2012,133000,22.5,Cumbayá,Negociable,USED,Ford,Camioneta Cabina Simple,F150 FX4,,,,,,,,,,,,,,,,,
2807,2010,102667,13.9,Quito,Negociable,USED,Nissan,Sedán,Altima,,,,,,,,,,,,,,,,,
2808,2018,74400,17.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
2809,2018,74400,17.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara SZ 2.4,,,,,,,,,,,,,,,,,
2810,2019,6327,43.9,Quito,Negociable,USED,Toyota,Camioneta Doble Cabina,New Hilux SR,,,,,,,,,,,,,,,,,
2811,2014,74102,27.99,Quito,Negociable,USED,Mercedes Benz,Hatchback (5 Puertas),A 200,,,,,,,,,,,,,,,,,
2812,2014,122800,20.4,Quito,Negociable,USED,Ford,Sedán,Edge,,,,,,,,,,,,,,,,,
2813,2019,16748,79.99,Quito,Negociable,USED,Mercedes Benz,Convertible,SLC 200,,,,,,,,,,,,,,,,,
2814,2015,97678,59.5,Quito,Negociable,USED,Great Wall,Camioneta Doble Cabina,Wingle 5 AC CD 4X2,#1723323,46500 Kms,Eléctricos,Manual,Gasolina,Aire Acondicionado,4 x 2,Plomo,2.0,2200.0,Pichincha,Tela,Hidráulica,,,,2.2
2815,1973,59300,12.9,Quito,Negociable,USED,Nissan,Camioneta Cabina Simple,1200,,,,,,,,,,,,,,,,,
2816,2018,65228,39.9,Quito,Negociable,USED,Nissan,Todoterreno,Pathfinder,,,,,,,,,,,,,,,,,
2817,1978,287,5.5,Quito,Negociable,USED,GMC,Camioneta Doble Cabina,Sierra,,,,,,,,,,,,,,,,,
2818,2013,166000,8.9,Quito,Negociable,USED,Chevrolet,Van Pasajeros,N300,,,,,,,,,,,,,,,,,
2819,2019,52000,18.9,Quito,Negociable,USED,Suzuki,Todoterreno,GRAN VITARA SZ NEXT,,,,,,,,,,,,,,,,,
2820,2008,147000,16.9,Quito,Fijo,USED,Honda,Todoterreno,CR-V,,,,,,,,,,,,,,,,,
2821,2018,10000,97.9,Quito,Negociable,USED,Toyota,Todoterreno,4 Runner Limited,,,,,,,,,,,,,,,,,
2822,2019,40000,31.9,Quito,Negociable,USED,Peugeot,Todoterreno,3008,,,,,,,,,,,,,,,,,
2823,1980,221373,9.9,Quito,Negociable,USED,Jeep,Todoterreno,Renegade,,,,,,,,,,,,,,,,,
2824,2011,137211,12.9,Quito,Negociable,USED,Mazda,Sedán,3,,,,,,,,,,,,,,,,,
2825,2018,122000,16.9,Quito,Fijo,USED,Chery,Todoterreno,Tiggo 5,,,,,,,,,,,,,,,,,
2826,2020,68112,18.4,Quito,Negociable,USED,Toyota,Sedán,Yaris,,,,,,,,,,,,,,,,,
2827,2020,68112,18.4,Quito,Negociable,USED,Toyota,Hatchback (5 Puertas),Yaris Sport,,,,,,,,,,,,,,,,,
2828,2020,68112,18.4,Quito,Negociable,USED,Toyota,Hatchback (5 Puertas),Yaris Nitro,,,,,,,,,,,,,,,,,
2829,2019,73630,38.8,Quito,Negociable,USED,Volvo,Todoterreno,XC40 Kinetic,,,,,,,,,,,,,,,,,
2830,2022,3600,105.0,Quito,Negociable,USED,BMW,Coupé,M440i XDRIVE,,,,,,,,,,,,,,,,,
2831,2010,296255,12.9,Quito,Fijo,USED,Chevrolet,Todoterreno,Grand Vitara 5P 4X4,,,,,,,,,,,,,,,,,
2832,2017,66738,14.9,Quito,Fijo,USED,Zotye,Todoterreno,T600,,,,,,,,,,,,,,,,,
2833,2019,113435,13.9,Quito,Fijo,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
2834,2019,66434,11.9,Quito,Fijo,USED,Kia,Hatchback (5 Puertas),PICANTO LX,,,,,,,,,,,,,,,,,
2835,1995,249000,4.9,Quito,Fijo,USED,Chevrolet,Todoterreno,Blazer,,,,,,,,,,,,,,,,,
2836,2021,28300,23.4,Quito,Negociable,USED,Chevrolet,Crossover,Captiva Premier,,,,,,,,,,,,,,,,,
2837,2021,28300,23.4,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
2838,2014,116000,10.3,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
2839,2019,79000,39.5,Quito,Negociable,USED,Nissan,Todoterreno,Pathfinder,,,,,,,,,,,,,,,,,
2840,2013,110000,15.3,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail Classic,,,,,,,,,,,,,,,,,
2841,2021,37000,16.9,Quito,Negociable,USED,JAC,Todoterreno,S3,,,,,,,,,,,,,,,,,
2842,2020,56704,28.9,Quito,Negociable,USED,Renault,Todoterreno,Koleos,,,,,,,,,,,,,,,,,
2843,2021,29300,17.2,Quito,Negociable,USED,DongFeng,Todoterreno,SX5,,,,,,,,,,,,,,,,,
2844,2016,95000,14.9,Quito,Fijo,USED,Chevrolet,Todoterreno,Captiva Sport,,,,,,,,,,,,,,,,,
2845,2015,17000,10.9,Quito,Negociable,USED,Fiat,Mini van (MPV),Fiorino,,,,,,,,,,,,,,,,,
2846,2002,250000,9.0,Quito,Negociable,USED,Nissan,Todoterreno,Pathfinder,,,,,,,,,,,,,,,,,
2847,2002,121768,7.9,Quito,Negociable,USED,Hyundai,Todoterreno,Santa Fe,,,,,,,,,,,,,,,,,
2848,2003,220000,9.5,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
2849,2021,44000,24.9,Quito,Negociable,USED,Zotye,Todoterreno,T600,#1723299,66738 Kms,Eléctricos,Manual,Gasolina,Aire Acondicionado,4 x 2,Dorado,8.0,1500.0,Chimborazo,Cuero,Hidráulica,,,,
2850,2016,82400,16.2,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara SZ 2.4,,,,,,,,,,,,,,,,,
2851,2016,82400,16.2,Quito,Fijo,USED,Chevrolet,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
2852,2007,215500,10.6,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander,,,,,,,,,,,,,,,,,
2853,2019,66179,11.9,Quito,Negociable,USED,Kia,Hatchback (5 Puertas),PICANTO LX,,,,,,,,,,,,,,,,,
2854,2017,86577,17.9,Quito,Negociable,USED,Kia,Todoterreno,Sportage Active,,,,,,,,,,,,,,,,,
2855,2014,0,14.9,Cuenca,Negociable,USED,Polaris,Buggy,Ranger XP 800,,,,,,,,,,,,,,,,,
2856,2015,158000,29.99,Otavalo,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
2857,2006,114000,16.9,Quito,Negociable,USED,Mercedes Benz,Sedán,C280 4Matic,,,,,,,,,,,,,,,,,
2858,2014,128000,14.99,Otavalo,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara SZ 2.4 4x4,,,,,,,,,,,,,,,,,
2859,2022,9000,24.9,Quito,Negociable,USED,Great Wall,Todoterreno,Haval H2,,,,,,,,,,,,,,,,,
2860,2022,25000,29.9,Quito,Negociable,USED,Jetour,Todoterreno,X70 COUPE,,,,,,,,,,,,,,,,,
2861,2018,44500,17.8,Quito,Negociable,USED,Haval,Todoterreno,H6,,,,,,,,,,,,,,,,,
2862,2009,236000,10.9,Ambato,Negociable,USED,Toyota,Sedán,Corolla 1.6,,,,,,,,,,,,,,,,,
2863,2010,134645,21.9,Quito,Negociable,USED,Lexus,Todoterreno,RX 450 Hibrido,,,,,,,,,,,,,,,,,
2864,2013,178791,13.5,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
2865,2009,217582,11.5,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ 2.7,,,,,,,,,,,,,,,,,
2866,2018,75601,49.9,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150 CS 4x4,,,,,,,,,,,,,,,,,
2867,2010,102234,18.9,Quito,Fijo,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x2,,,,,,,,,,,,,,,,,
2868,2010,164726,16.9,Quito,Fijo,USED,Audi,Sedán,A4,,,,,,,,,,,,,,,,,
2869,2015,168669,14.9,Quito,Fijo,USED,Chevrolet,Todoterreno,Grand Vitara 5p 4x2,,,,,,,,,,,,,,,,,
2870,2021,37000,16.9,Quito,Negociable,USED,JAC,Todoterreno,S3,,,,,,,,,,,,,,,,,
2871,2018,44844,26.9,Quito,Negociable,USED,Hyundai,Todoterreno,TUCSON TL,,,,,,,,,,,,,,,,,
2872,2020,23004,12.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2873,2013,73307,43.9,Quito,Negociable,USED,Toyota,Camioneta Doble Cabina,Tundra,,,,,,,,,,,,,,,,,
2874,2011,131466,36.9,Quito,Negociable,USED,BMW,Todoterreno,X5 4.4i,,,,,,,,,,,,,,,,,
2875,2006,202000,8.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Optra,,,,,,,,,,,,,,,,,
2876,2022,0,99.9,Quito,Negociable,USED,Mercedes Benz,Sedán,E350,,,,,,,,,,,,,,,,,
2877,2018,60000,21.0,Quito,Negociable,USED,Hyundai,Todoterreno,Creta,,,,,,,,,,,,,,,,,
2878,2019,41000,20.5,Quito,Negociable,USED,Nissan,Todoterreno,Kicks,,,,,,,,,,,,,,,,,
2879,2013,184416,13.9,Quito,Fijo,USED,Ford,SUV,Escape,,,,,,,,,,,,,,,,,
2880,2022,35791,26.8,Quito,Negociable,USED,JAC,Camioneta Doble Cabina,T6,,,,,,,,,,,,,,,,,
2881,2014,172193,31.9,Quito,Negociable,USED,Jeep,Todoterreno,Grand Cherokee Laredo,,,,,,,,,,,,,,,,,
2882,2015,214499,24.5,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CRDI 3.0 CD 4X4,,,,,,,,,,,,,,,,,
2883,2002,420000,4.2,Quito,Fijo,USED,Daewoo,Hatchback (5 Puertas),Matiz,,,,,,,,,,,,,,,,,
2884,2015,156000,59.9,Quito,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x2,#1723072,102234 Kms,Manuales,Manual,Gasolina,Calefacción,4 x 2,Rojo,4.0,2700.0,Pichincha,Tela,Hidráulica,,,,
2885,2019,72322,23.5,Quito,Negociable,USED,Mazda,Sedán,3,,,,,,,,,,,,,,,,,
2886,2020,47000,17.4,Quito,Negociable,USED,Toyota,Sedán,Yaris,,,,,,,,,,,,,,,,,
2887,2013,97200,13.4,Quito,Negociable,USED,Toyota,Sedán,Prius Hybrido,,,,,,,,,,,,,,,,,
2888,2013,97200,13.4,Quito,Negociable,USED,Toyota,Hatchback (3 Puertas),Prius C Sport,,,,,,,,,,,,,,,,,
2889,2018,81199,39.9,Quito,Negociable,USED,Chevrolet,Todoterreno,TrailBlazer DSL LTZ TA 2.8,,,,,,,,,,,,,,,,,
2890,2013,110000,28.9,Quito,Negociable,USED,BMW,Sedán,320i,,,,,,,,,,,,,,,,,
2891,2009,89478,21.3,Cuenca,Negociable,USED,Toyota,Todoterreno,Highlander Limited Hibrido,,,,,,,,,,,,,,,,,
2892,2021,31000,33.8,Quito,Negociable,USED,Peugeot,Todoterreno,3008,,,,,,,,,,,,,,,,,
2893,2022,43000,31.9,Quito,Negociable,USED,Mazda,Todoterreno,CX-5,,,,,,,,,,,,,,,,,
2894,2009,89478,21.3,Cuenca,Negociable,USED,Toyota,Todoterreno,Highlander,,,,,,,,,,,,,,,,,
2895,2019,65000,50.0,Guayaquil,Fijo,USED,Nissan,Todoterreno,Pathfinder,,,,,,,,,,,,,,,,,
2896,2008,75546,16.9,Quito,Negociable,USED,Peugeot,Coupé,407 Coupe,,,,,,,,,,,,,,,,,
2897,2006,58200,12.9,Quito,Negociable,USED,Peugeot,Convertible,207cc,,,,,,,,,,,,,,,,,
2898,2014,54800,34.79,Quito,Negociable,USED,Audi,Todoterreno,Q5,,,,,,,,,,,,,,,,,
2899,2012,103553,44.9,Cuenca,Negociable,USED,Jeep,Todoterreno,Wrangler Sport,,,,,,,,,,,,,,,,,
2900,2018,29980,32.9,Quito,Negociable,USED,Toyota,Todoterreno,NEW RAV4 AC 2.0 5P,,,,,,,,,,,,,,,,,
2901,2017,83000,16.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
2902,2016,95000,12.9,Quito,Fijo,USED,Great Wall,Todoterreno,H5,,,,,,,,,,,,,,,,,
2903,2022,40000,26.4,Quito,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,,,,
2904,2023,0,31.6,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CRDI 2.5 CD 4X2 TM DIESEL,,,,,,,,,,,,,,,,,
2905,2016,149000,14.9,Quito,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 CD ACTION 2.6,,,,,,,,,,,,,,,,,
2906,2016,116000,22.9,Quito,Negociable,USED,Honda,Todoterreno,HRV,,,,,,,,,,,,,,,,,
